TeamId,TeamName,SubmissionDate,Score
366180,Roman,"2016-09-01 19:11:51",0.14372
366482,SeaBreeze,"2016-09-02 15:50:24",0.14074
367116,"Russ Boucher","2016-09-04 02:46:17",0.12319
367116,"Russ Boucher","2016-09-04 15:34:12",0.12241
367116,"Russ Boucher","2016-09-04 21:54:14",0.12220
367116,"Russ Boucher","2016-09-07 15:06:55",0.12193
367116,"Russ Boucher","2016-09-12 15:54:53",0.11905
367116,"Russ Boucher","2016-09-15 19:00:39",0.11905
367116,"Russ Boucher","2016-09-15 19:01:57",0.11889
367116,"Russ Boucher","2016-09-19 14:09:54",0.11866
367116,"Russ Boucher","2016-09-19 14:11:59",0.11803
367116,"Russ Boucher","2016-09-22 18:27:08",0.11764
374689,"Ted Petrou","2016-09-22 21:02:33",0.17234
374689,"Ted Petrou","2016-09-22 21:06:49",0.14751
374689,"Ted Petrou","2016-09-22 21:43:23",0.13359
374689,"Ted Petrou","2016-09-22 21:52:43",0.13187
374689,"Ted Petrou","2016-09-23 00:16:01",0.12905
374689,"Ted Petrou","2016-09-23 00:18:55",0.12538
375008,IoA_WolfPack,"2016-09-23 13:50:34",0.12672
367116,"Russ Boucher","2016-09-23 17:38:35",0.11757
374689,"Ted Petrou","2016-09-24 01:27:29",0.12396
374689,"Ted Petrou","2016-09-24 01:42:52",0.12116
375508,DHRN,"2016-09-24 17:39:01",0.12391
375008,IoA_WolfPack,"2016-09-26 14:30:56",0.12549
375008,IoA_WolfPack,"2016-09-28 12:44:38",0.12329
374689,"Ted Petrou","2016-09-28 15:01:19",0.12064
367116,"Russ Boucher","2016-09-28 15:31:38",0.11757
374689,"Ted Petrou","2016-09-28 18:03:05",0.12021
374689,"Ted Petrou","2016-09-28 18:05:47",0.11850
1546585,"Team IO","2016-10-09 18:04:59",0.14768
1546585,"Team IO","2016-10-09 22:04:17",0.14112
1546585,"Team IO","2016-10-10 02:39:55",0.14050
396486,"Vishwadeep Gautam","2016-10-31 16:53:08",0.12086
403471,RiccardoCamon,"2016-11-10 11:54:07",0.14171
403471,RiccardoCamon,"2016-11-10 12:59:32",0.13673
403471,RiccardoCamon,"2016-11-10 14:59:25",0.13673
367116,"Russ Boucher","2016-11-14 20:55:21",0.11392
409901,"Anand Kumaresh","2016-11-17 17:00:02",0.12101
439244,DSXL,"2016-11-19 03:25:49",0.40890
376559,C1-7,"2016-11-20 13:51:11",0.38588
376559,C1-7,"2016-11-20 14:10:58",0.17377
439244,DSXL,"2016-11-21 18:39:27",0.16579
439244,DSXL,"2016-11-21 18:44:52",0.16327
439244,DSXL,"2016-11-21 18:48:45",0.15619
439244,DSXL,"2016-11-23 19:06:10",0.11623
439244,DSXL,"2016-11-23 19:28:24",0.11618
439244,DSXL,"2016-11-24 17:39:51",0.11463
367116,"Russ Boucher","2016-11-25 15:23:55",0.11330
367116,"Russ Boucher","2016-11-25 15:27:11",0.11306
439244,DSXL,"2016-11-25 19:28:07",0.11453
415739,Retroacted,"2016-11-26 18:03:49",0.14728
415739,Retroacted,"2016-11-26 18:19:14",0.14036
415767,TheJuniorLebowski,"2016-11-26 18:48:07",0.14974
415739,Retroacted,"2016-11-26 21:02:10",0.13137
423870,"Mathurin Aché","2016-12-04 18:09:13",0.11453
367116,"Russ Boucher","2016-12-09 13:43:10",0.11300
432473,"Nick Styles","2016-12-15 09:30:32",0.13165
432901,marcobr,"2016-12-15 22:54:14",0.25161
432901,marcobr,"2016-12-15 23:23:42",0.14935
432901,marcobr,"2016-12-16 09:31:10",0.14149
432901,marcobr,"2016-12-16 12:04:52",0.13448
439244,DSXL,"2016-12-17 17:12:15",0.11439
439244,DSXL,"2016-12-18 08:59:54",0.11439
439244,DSXL,"2016-12-18 09:21:12",0.11438
434653,mndrake,"2016-12-19 03:05:35",0.15315
434653,mndrake,"2016-12-19 05:31:35",0.14946
435524,"Prajit Datta","2016-12-20 12:38:59",0.12617
435524,"Prajit Datta","2016-12-20 12:40:27",0.12086
435705,"Data Scroungers","2016-12-20 18:00:38",0.12699
435847,"Max Karachun","2016-12-20 23:04:29",0.16869
435524,"Prajit Datta","2016-12-21 05:50:49",0.11438
435847,"Max Karachun","2016-12-21 20:42:16",0.15280
435847,"Max Karachun","2016-12-22 06:33:05",0.15200
435847,"Max Karachun","2016-12-22 21:33:13",0.14196
434653,mndrake,"2016-12-23 05:36:14",0.12186
436988,Fersebas,"2016-12-23 11:46:53",0.12431
435847,"Max Karachun","2016-12-23 20:22:19",0.13964
435847,"Max Karachun","2016-12-25 18:30:10",0.12726
436988,Fersebas,"2016-12-26 00:34:01",0.12122
435847,"Max Karachun","2016-12-27 21:33:48",0.12475
436988,Fersebas,"2016-12-28 00:28:52",0.11834
435847,"Max Karachun","2016-12-28 18:37:52",0.12099
441364,"Doron Rippel","2017-01-01 13:51:10",0.28117
441364,"Doron Rippel","2017-01-01 14:36:30",0.23970
441364,"Doron Rippel","2017-01-01 14:40:48",0.22862
441364,"Doron Rippel","2017-01-01 14:43:39",0.22578
441364,"Doron Rippel","2017-01-02 10:15:14",0.22367
441364,"Doron Rippel","2017-01-03 07:19:45",0.21518
439244,DSXL,"2017-01-03 07:49:24",0.11396
441364,"Doron Rippel","2017-01-03 09:03:18",0.21504
441364,"Doron Rippel","2017-01-03 11:44:04",0.21410
441364,"Doron Rippel","2017-01-04 05:32:12",0.21357
441364,"Doron Rippel","2017-01-04 05:49:43",0.18083
439244,DSXL,"2017-01-04 07:02:15",0.11203
439244,DSXL,"2017-01-06 07:41:38",0.11202
439244,DSXL,"2017-01-06 15:14:04",0.11169
432254,ldiperna,"2017-01-06 21:22:23",0.17116
432254,ldiperna,"2017-01-06 21:24:58",0.13907
434653,mndrake,"2017-01-08 03:58:28",0.11590
434653,mndrake,"2017-01-08 05:31:12",0.11410
434653,mndrake,"2017-01-09 16:09:35",0.11379
441364,"Doron Rippel","2017-01-09 17:42:48",0.15447
441364,"Doron Rippel","2017-01-10 10:33:19",0.15384
439244,DSXL,"2017-01-10 10:39:08",0.11160
439244,DSXL,"2017-01-10 10:44:59",0.11160
434653,mndrake,"2017-01-11 03:19:22",0.11370
446357,"Anatoly Korzun","2017-01-11 07:37:32",0.20903
446357,"Anatoly Korzun","2017-01-11 08:34:46",0.20634
446357,"Anatoly Korzun","2017-01-11 15:47:09",0.17922
446357,"Anatoly Korzun","2017-01-12 16:15:45",0.15104
446357,"Anatoly Korzun","2017-01-13 09:01:10",0.14794
446357,"Anatoly Korzun","2017-01-13 11:47:30",0.13899
435705,"Data Scroungers","2017-01-13 16:46:35",0.11448
446357,"Anatoly Korzun","2017-01-15 16:58:07",0.12503
446357,"Anatoly Korzun","2017-01-16 05:31:27",0.12496
441364,"Doron Rippel","2017-01-16 15:51:26",0.15211
441364,"Doron Rippel","2017-01-19 15:38:44",0.14887
441364,"Doron Rippel","2017-01-19 15:45:52",0.14648
441364,"Doron Rippel","2017-01-20 07:34:28",0.14067
441364,"Doron Rippel","2017-01-31 05:29:56",0.13840
441364,"Doron Rippel","2017-02-02 05:35:46",0.12980
441364,"Doron Rippel","2017-02-03 06:27:56",0.12949
441364,"Doron Rippel","2017-02-03 06:32:07",0.12917
441364,"Doron Rippel","2017-02-03 06:33:05",0.12587
396486,"Vishwadeep Gautam","2017-02-04 04:45:04",0.11563
446357,"Anatoly Korzun","2017-02-05 12:05:16",0.12443
441364,"Doron Rippel","2017-02-06 07:03:12",0.12562
468819,"Sergii Lutsanych, Ph.D.","2017-02-06 10:59:15",0.11484
468819,"Sergii Lutsanych, Ph.D.","2017-02-06 11:05:29",0.11480
446357,"Anatoly Korzun","2017-02-07 07:51:34",0.12250
446357,"Anatoly Korzun","2017-02-07 14:44:34",0.12229
441364,"Doron Rippel","2017-02-08 09:37:00",0.12552
441364,"Doron Rippel","2017-02-09 05:45:13",0.12527
473091,DavidYang,"2017-02-09 11:05:57",0.75090
473091,DavidYang,"2017-02-09 11:12:36",0.16610
473091,DavidYang,"2017-02-09 21:16:11",0.13712
473091,DavidYang,"2017-02-10 22:50:28",0.13172
473091,DavidYang,"2017-02-10 23:37:47",0.13018
468819,"Sergii Lutsanych, Ph.D.","2017-02-11 16:16:10",0.11479
446357,"Anatoly Korzun","2017-02-14 11:30:45",0.12094
463844,"AK Huang","2017-02-16 21:00:41",0.14892
463844,"AK Huang","2017-02-17 18:17:07",0.14661
463844,"AK Huang","2017-02-17 18:49:57",0.14579
468819,"Sergii Lutsanych, Ph.D.","2017-02-17 22:27:23",0.11473
446357,"Anatoly Korzun","2017-02-18 09:07:51",0.11868
446357,"Anatoly Korzun","2017-02-19 17:55:00",0.11828
463844,"AK Huang","2017-02-20 01:59:11",0.13121
446357,"Anatoly Korzun","2017-02-20 06:53:02",0.11785
441364,"Doron Rippel","2017-02-20 10:56:41",0.12390
446357,"Anatoly Korzun","2017-02-20 18:46:19",0.11770
468819,"Sergii Lutsanych, Ph.D.","2017-02-21 13:04:55",0.11467
441364,"Doron Rippel","2017-02-22 18:42:27",0.12383
446357,"Anatoly Korzun","2017-02-23 18:33:37",0.11762
468819,"Sergii Lutsanych, Ph.D.","2017-02-23 20:26:23",0.11451
468819,"Sergii Lutsanych, Ph.D.","2017-02-23 21:01:39",0.11435
463844,"AK Huang","2017-02-24 22:02:18",0.12251
441364,"Doron Rippel","2017-02-26 19:05:24",0.12325
446357,"Anatoly Korzun","2017-02-27 06:11:08",0.11756
492983,not_today,"2017-02-28 04:03:44",0.11480
509205,"mohammed khamis","2017-02-28 09:46:18",0.12050
509205,"mohammed khamis","2017-02-28 10:00:43",0.11872
415739,Retroacted,"2017-02-28 21:07:24",0.13034
441364,"Doron Rippel","2017-03-01 05:25:42",0.11919
441364,"Doron Rippel","2017-03-01 05:33:59",0.11559
415739,Retroacted,"2017-03-01 06:44:16",0.12908
511748,"Daniel Marcous","2017-03-01 14:16:19",0.11432
509205,"mohammed khamis","2017-03-01 22:50:19",0.11820
509205,"mohammed khamis","2017-03-01 22:57:44",0.11742
441364,"Doron Rippel","2017-03-07 09:07:40",0.11509
524043,"Abi Gatti","2017-03-08 02:27:20",0.18068
524043,"Abi Gatti","2017-03-08 21:10:12",0.16586
441364,"Doron Rippel","2017-03-09 12:04:10",0.11462
441364,"Doron Rippel","2017-03-09 12:08:19",0.11452
441364,"Doron Rippel","2017-03-09 12:12:41",0.11444
441364,"Doron Rippel","2017-03-10 21:43:39",0.11443
441364,"Doron Rippel","2017-03-10 21:54:19",0.11443
441364,"Doron Rippel","2017-03-11 10:04:00",0.11443
534222,GeorgeKyriakides,"2017-03-11 22:11:49",0.21047
534222,GeorgeKyriakides,"2017-03-11 22:22:59",0.14826
534222,GeorgeKyriakides,"2017-03-11 22:27:10",0.14750
534222,GeorgeKyriakides,"2017-03-12 11:06:35",0.14339
524043,"Abi Gatti","2017-03-12 16:16:49",0.16580
535475,zhouzhou,"2017-03-12 16:33:58",0.30115
535728,"Andrii Bereznikov","2017-03-12 19:29:25",0.24983
535728,"Andrii Bereznikov","2017-03-12 20:06:50",0.20721
535728,"Andrii Bereznikov","2017-03-12 20:08:23",0.20704
536123,"Jasmeet Bhatia","2017-03-13 00:50:50",0.12583
535475,zhouzhou,"2017-03-13 04:52:47",0.23159
